SMED30000044 ASI4B
SMED30004061 POL4
SMED30004062 ELIC
SMED30004036 FHL2
SMED30004055 URH2
SMED30004032 RER1
SMED30004053 FOXK1
SMED30004039 FBN2
SMED30004096 POL5
SMED30004083 CTGF
SMED30004093 ZN260
SMED30004094 CBP
SMED30004072 KFA
SMED30004103 CABL1
SMED30004100 AVL9
SMED30004098 PH4H
SMED30004088 UBC2
SMED30004080 MELK
SMED30004082 NIPS1
SMED30004073 TRAF6
SMED30004081 TENX
SMED30004136 DPOLA
SMED30004118 TBB
SMED30004124 1433Z
SMED30004117 PPIG
SMED30004115 EXOS4
SMED30004138 SETMR
SMED30004126 EMP24
SMED30004123 SNRK
SMED30004139 REXO4
SMED30004109 HOIL1
SMED30004132 EZ
SMED30004114 SCND3
SMED30004130 PGBD4
SMED30004111 AT8A2
SMED30004112 DYHG
SMED30004137 THOC6
SMED30004142 CAPS1
SMED30004168 YMJC
SMED30004149 ANK1
SMED30004154 RORB
SMED30004173 NPC2
SMED30004147 PPGB
SMED30004144 PO21
SMED30004151 TF3C3
SMED30004165 HHEX
SMED30004163 SETMR
SMED30004164 YR901
SMED30004156 SYPH
SMED30004158 TTC25
SMED30004175 ARHG7
SMED30004166 DDX17
SMED30004148 FBX47
SMED30004140 OXSM
SMED30004174 BPL1
SMED30004162 SIFAR
SMED30004161 MS3L1
SMED30004206 TMT1
SMED30004188 MOS1T
SMED30004195 TRAF3
SMED30004178 EIF3C
SMED30004207 BCL3
SMED30004192 DYL1
SMED30004193 MPEG1
SMED30004199 UBIQP
SMED30004194 CSMD1
SMED30004183 TRAF4
SMED30004182 LOXH1
SMED30004202 ZSWM4
SMED30004184 CSC1
SMED30004208 SYTL5
SMED30004180 DPO1
SMED30004205 RIFK
SMED30004197 ACADV
SMED30004179 PGBD4
SMED30004181 GALT
SMED30004190 Y9043
SMED30004218 KAPR2
SMED30004217 GRP78
SMED30004212 BIR7A
SMED30004220 TILS
SMED30004223 KLF4
SMED30004224 ANR45
SMED30004241 WNK1
SMED30004213 TOLB
SMED30004225 YL093
SMED30004242 RADI
SMED30004216 DPYD
SMED30004215 POL3
SMED30004230 SAX
SMED30004243 PO21
SMED30004260 T161B
SMED30004270 SF3B1
SMED30004269 RHG23
SMED30004267 non-muscle
SMED30004274 PGBD4
SMED30004248 ADRB2
SMED30004256 CH60
SMED30004278 IP3KC
SMED30004259 SHAN3
SMED30004253 YI036
SMED30004273 TPIS
SMED30004255 DJC11
SMED30004277 UNC9
SMED30004281 CKAP5
SMED30004250 TRAF6
SMED30004284 UNC9
SMED30004301 POL3
SMED30004311 KDIS
SMED30004308 KAD
SMED30004315 BEST1
SMED30004303 ARI4B
SMED30004313 TM38B
SMED30004288 GTD2B
SMED30004295 EF1A1
SMED30004319 GRDN
SMED30004317 ABCA4
SMED30004297 EIF3K
SMED30004307 TIGD1
SMED30004289 NPL4
SMED30004309 SCND3
SMED30004347 GTD2B
SMED30004353 BEST3
SMED30004348 A1M
SMED30004345 K1586
SMED30004322 Y132A
SMED30004346 PTN1
SMED30004335 SGSM3
SMED30004352 MCE1
SMED30004325 GTR4
SMED30004327 SDCB1
SMED30004350 YD286
SMED30004355 PDE4C
SMED30004334 RM39
SMED30000470 TM203
SMED30000473 DHX8
SMED30000445 PCD17
SMED30000469 POL4
SMED30000458 EP300
SMED30000450 CALRL
SMED30000463 SDF2L
SMED30000457 ACSS3
SMED30000474 BRD8
SMED30000475 BEST4
SMED30000449 41
SMED30000477 LFG1
SMED30000459 DNM1L
SMED30004389 SCN9A
SMED30004379 PGBD4
SMED30004363 KAPCA
SMED30004387 ZBED8
SMED30004367 SRS10
SMED30004376 TT1
SMED30004391 SCND3
SMED30004384 RN123
SMED30004366 ROS
SMED30004365 EFCB1
SMED30004358 PCDH1
SMED30004390 H2A
SMED30004380 CYLD
SMED30004407 DPOD1
SMED30004403 FMAR
SMED30004427 SBNO1
SMED30004399 BSCL2
SMED30004402 GT2D2
SMED30004414 DRD2L
SMED30004410 BROMI
SMED30004415 FBX4
SMED30004395 LCHN
SMED30004424 INT2
SMED30004400 PSB6
SMED30004413 MCA3B
SMED30004420 DPF3
SMED30004401 ADA1A
SMED30004408 NOGG
SMED30004438 TBA
SMED30004455 THADA
SMED30004445 SSR1
SMED30004452 ECH1
SMED30004459 CYFIP
SMED30004463 HCN4
SMED30004457 RPB2
SMED30004454 COX5B
SMED30004441 ORC5
SMED30004447 F184A
SMED30004449 BC11A
SMED30004437 FEZ1
SMED30004456 ICP0
SMED30004442 TRAF3
SMED30004430 BND7A
SMED30004436 DCP2
SMED30004435 SRGP1
SMED30004448 TXND3
SMED30004461 LST2
SMED30004472 TKT
SMED30004464 ATP5H
SMED30004485 COA
SMED30004480 TAU
SMED30004489 XIAP
SMED30004483 LNX2
SMED30004476 TRAF6
SMED30004484 RL8
SMED30004490 PP14
SMED30004469 SF3B1
SMED30004470 TYSY
SMED30004488 CD9
SMED30004481 PKHF1
SMED30004467 PTPC1
SMED30004497 BLA1
SMED30004516 SPCS1
SMED30004518 DAW1
SMED30004517 RU2B
SMED30004524 KGP1
SMED30004515 FBXW7
SMED30004506 TC1A
SMED30004503 TBA2
SMED30004513 GABR2
SMED30004519 CQ105
SMED30004511 PTN4
SMED30004526 CDKC3
SMED30004505 PCTL
SMED30004523 YPL1
SMED30004508 MIB1
SMED30004535 MMP9
SMED30004532 YBOX1
SMED30004531 BEST3
SMED30004564 MST
SMED30004562 PL8L1
SMED30004546 EGFR
SMED30004550 CENPE
SMED30004547 F149A
SMED30004539 ZDHC5
SMED30004558 B4GT3
SMED30004549 PCAF
SMED30004537 PSB7
SMED30004559 CRBN
SMED30004568 EGFR
SMED30004557 SPK1
SMED30004606 CP2J6
SMED30004603 ABHDD
SMED30004591 TIGD1
SMED30004599 MRC1
SMED30004577 CNNM4
SMED30004594 DYN3
SMED30004578 PSMD6
SMED30004585 GCNT1
SMED30004598 CKAP5
SMED30004575 ZMYM1
SMED30004587 EEA1
SMED30004604 GT2D2
SMED30004590 RB27B
SMED30004581 DUS10
SMED30004597 DPH1
SMED30004576 RPN2
SMED30004640 HSDL2
SMED30004633 MP2K6
SMED30004631 CUTA
SMED30004634 QCR1
SMED30004618 SCMH1
SMED30004617 BLMP1
SMED30004629 CND2
SMED30004608 KCC4
SMED30004630 RN185
SMED30004625 HERC1
SMED30004626 TIGD1
SMED30004641 SMAD3
SMED30004619 MOT9
SMED30004615 RPAB3
SMED30004622 INT1
SMED30004639 COBS
SMED30004663 UBC10
SMED30004665 POL2
SMED30004653 CCD12
SMED30004677 TOP2A
SMED30004678 CANB
SMED30004669 RPR1B
SMED30004646 ACT
SMED30004675 GSK3
SMED30004667 SYT14
SMED30004654 TPIS
SMED30004676 PLCD
SMED30004668 TRAF3
SMED30004660 SOS2
SMED30004650 TIGD1
SMED30004658 K1586
SMED30004679 PKRI1
SMED30004648 DYRK2
SMED30004666 AFG32
SMED30004706 TRAF5
SMED30004698 KCNN
SMED30004682 TM38B
SMED30004709 ZMYM1
SMED30004703 PRKX
SMED30004708 SM20
SMED30004687 FXL20
SMED30004694 MTCH1
SMED30004711 SBNO
SMED30004701 EAF6
SMED30004686 ALKJ
SMED30004695 CAC1H
SMED30004688 CP2G1
SMED30004697 CEP70
SMED30004704 ASIC4
SMED30004699 SETMR
SMED30004700 RCC1
SMED30004710 GST1
SMED30000491 PCR2
SMED30000483 STK33
SMED30000510 KPC2
SMED30000487 NID2
SMED30000484 TRAF2
SMED30000517 M4K4
SMED30000502 PIGO
SMED30000504 MOS1T
SMED30000485 PRDM1
SMED30000494 OTUB1
SMED30000516 MTR1A
SMED30000515 NCOR1
SMED30000492 RED1
SMED30000512 CFA61
SMED30000488 DOC2B
SMED30000511 SPR
SMED30000500 ZFN2B
SMED30004739 TRAF6
SMED30004736 SC6A5
SMED30004743 FND3A
SMED30004729 TRM11
SMED30004741 HIR3
SMED30004737 DJC22
SMED30004722 MFSD3
SMED30004747 CP3A9
SMED30004727 M17L2
SMED30004738 ASIC2
SMED30004716 MMP2
SMED30004746 DNJC7
SMED30004750 CCAPR
SMED30004751 CHAT1
SMED30004732 HMCN1
SMED30004734 MOS1T
SMED30004721 ATIF1
SMED30004771 ZMYM6
SMED30004761 GALT9
SMED30004765 THILA
SMED30004773 ACT1
SMED30004754 RBM8A
SMED30004783 DJC13
SMED30004786 ELAV4
SMED30004756 SMD2
SMED30004763 ZMYM5
SMED30004780 ZBED5
SMED30004755 NHL1
SMED30004785 OPLA
SMED30004778 GRIA2
SMED30004817 RAB6
SMED30004808 RL27A
SMED30004791 MAGT1
SMED30004797 TRAF2
SMED30004793 MTM1
SMED30004810 SCND3
SMED30004811 SMI20
SMED30004789 SQRD
SMED30004819 TRFR
SMED30004813 DTHD1
SMED30004809 TRAF5
SMED30004800 TRAF6
SMED30004788 VNCS
SMED30004822 NUD18
SMED30004820 MFAP1
SMED30004802 CIPKM
SMED30004821 ATE
SMED30004841 REM1
SMED30004839 ICP0
SMED30004840 GRDN
SMED30004831 DPO1
SMED30004852 VA5
SMED30004855 GLRX1
SMED30004837 PQLC1
SMED30004851 ARMC8
SMED30004829 5HT1R
SMED30004832 LRWD1
SMED30004844 POLY
SMED30004847 TIGD1
SMED30004856 PWP2A
SMED30004846 ABLM1
SMED30004857 E2F5
SMED30004881 DDR2
SMED30004870 RMIL
SMED30004876 NR4A1
SMED30004892 POL3
SMED30004875 EFCB6
SMED30004873 NPYR
SMED30004868 NDF1
SMED30004867 RL3
SMED30004871 MK13
SMED30004865 PP12
SMED30004888 FRS3
SMED30004860 STR6L
SMED30004861 UNC7
SMED30004872 FHUA
SMED30004877 GLUCB
SMED30004890 PCKGC
SMED30004908 NRG
SMED30004929 PTBP3
SMED30004899 WDR93
SMED30004924 SX21A
SMED30004930 ICCR
SMED30004911 F214A
SMED30004923 SYCC
SMED30004916 POL3
SMED30004903 QCR2
SMED30004906 ACHA6
SMED30004928 PI4KB
SMED30004897 BRE4
SMED30004913 YPT1
SMED30004931 ZFR
SMED30004920 ERF3A
SMED30004915 SCND3
SMED30004904 MPS1
SMED30004917 PGBD4
SMED30004940 RT25
SMED30004958 TRPM2
SMED30004949 RIBC2
SMED30004951 BASI
SMED30004946 C163A
SMED30004950 MYT1
SMED30004945 S22A3
SMED30004938 KALM
SMED30004942 UNC8
SMED30004941 DIRC2
SMED30004937 EF2
SMED30004948 PCP
SMED30004943 ZN106
SMED30004963 CAZA2
SMED30004965 HIPK2
SMED30004957 ANO6
SMED30004932 TCAF3
SMED30004975 HPRT
SMED30004989 DOHH
SMED30004979 CDC45
SMED30005001 ZBT17
SMED30004988 KIF23
SMED30004976 STK11
SMED30005000 SC6A2
SMED30004991 PD10A
SMED30005003 CACB2
SMED30004993 HCDH
SMED30004984 ABCBB
SMED30004995 UBC21
SMED30004983 YTDC1
SMED30004973 CH082
SMED30005038 AP1S2
SMED30005030 GRM8
SMED30005026 BRX1
SMED30005036 NOGG2
SMED30005035 UCPA
SMED30005014 ATPA
SMED30005028 ANR28
SMED30005024 TRAG5
SMED30005019 PRS4
SMED30005039 UNC89
SMED30005025 HLH13
SMED30005033 VINC
SMED30005016 LRIG3
SMED30005007 PATS1
SMED30005004 PCDH1
SMED30005064 BARH2
SMED30005052 DPH2
SMED30005058 GCNT1
SMED30005045 ZIC3
SMED30005068 TEKT3
SMED30005047 GRID1
SMED30005055 POL4
SMED30005046 DYHC
SMED30005041 UBI2P
SMED30005062 KYNU
SMED30005042 KT5BA
SMED30005066 MEGF6
SMED30005060 IREH1
SMED30005072 MSRB3
SMED30005073 ZBED5
SMED30005065 DHX15
SMED30005074 ANP1
SMED30000553 PTK7
SMED30000520 ZAN
SMED30000521 F200A
SMED30000538 CAPAR
SMED30000549 PASK
SMED30000528 TRF6B
SMED30000546 MAST2
SMED30000545 NFAT5
SMED30000541 BLM
SMED30000535 CEP72
SMED30000530 DBX1
SMED30000539 ATRX
SMED30000542 ABHD3
SMED30005091 LRC40
SMED30005086 P52K
SMED30005104 POL2
SMED30005078 CP070
SMED30005097 TIGD4
SMED30005108 YHET
SMED30005111 HCD2
SMED30005085 FCP1
SMED30005092 TC3A
SMED30005106 GAK
SMED30005102 PGBD4
SMED30005081 UNC9
SMED30005110 K1841
SMED30005093 IQCB1
SMED30005084 ZN862
SMED30005094 SMCE1
SMED30005099 TM234
SMED30005101 PGES2
SMED30005118 TBB
SMED30005112 ZBED8
SMED30005127 CAC1M
SMED30005141 ZNFX1
SMED30005144 MRRP1
SMED30005147 5HTR
SMED30005131 HSP7C
SMED30005130 MTR1A
SMED30005135 TIGD1
SMED30005158 SPG16
SMED30005173 ACH3
SMED30005165 GTD2A
SMED30005164 COE1
SMED30005183 IPYR
SMED30005160 KLC
SMED30005162 MGAT1
SMED30005161 FAXC
SMED30005155 PARL
SMED30005148 PC11X
SMED30005179 TIGD6
SMED30005174 MESD
SMED30005182 PTF1A
SMED30005168 FUCO2
SMED30005178 ACER3
SMED30005154 RM20
SMED30005207 K132L
SMED30005201 PRS8
SMED30005213 E41L5
SMED30005196 WDR20
SMED30005194 NLE1
SMED30005190 R15A1
SMED30005197 PT1
SMED30005198 CHR20
SMED30005211 CFA47
SMED30005215 PDE6D
SMED30005206 SRS1B
SMED30005188 TSPO
SMED30005185 HMH2
SMED30005184 IRTB
SMED30005209 ANR50
SMED30005216 LRCH4
SMED30005191 PLS2
SMED30005248 RSH4A
SMED30005250 MROH1
SMED30005229 PAO
SMED30005237 ZN577
SMED30005228 RD23B
SMED30005246 CCNB2
SMED30005222 DCLK2
SMED30005221 UNC97
SMED30005249 PDE9A
SMED30005224 POL3
SMED30005247 PIN4
SMED30005231 PABP1
SMED30005227 TBB
SMED30005253 EFHC2
SMED30005226 KPB2
SMED30005236 EXOS8
SMED30005223 BIOB
SMED30005282 FANCJ
SMED30005278 MANBA
SMED30005273 RL1A
SMED30005284 PICK1
SMED30005290 BIOF
SMED30005270 ANR28
SMED30005281 POL
SMED30005288 HERC4
SMED30005291 HS74L
SMED30005258 GTD2A
SMED30005285 FAIM1
SMED30005274 TPP2
SMED30005263 HSL1
SMED30005321 MDHM
SMED30005325 RNT2
SMED30005294 ULK3
SMED30005292 PGAP3
SMED30005303 5HT1R
SMED30005296 S15A4
SMED30005327 PARB
SMED30005316 ARF
SMED30005298 TUT7
SMED30005318 WDR92
SMED30005308 USH1G
SMED30005315 TRPA1
SMED30005314 ARRB
SMED30005317 BBIP1
SMED30005299 5NTC
SMED30005358 PGBD4
SMED30005339 SLU7
SMED30005336 PHTF2
SMED30005345 AHNK
SMED30005350 ST7
SMED30005346 UBP4
SMED30005333 YI31B
SMED30005360 SMIM4
SMED30005330 TBA3
SMED30005366 SETMR
SMED30005371 CH60
SMED30005375 OGT1
SMED30005367 GRIK2
SMED30005368 POLR
SMED30005398 DYRK2
SMED30005386 RL40
SMED30005395 CLPC
SMED30005382 IPHP
SMED30005394 PDCD5
SMED30005374 TBP1
SMED30005373 ZBED5
SMED30005365 PPCK2
SMED30005414 TIGD7
SMED30005435 MIER3
SMED30005420 SYYM
SMED30005426 CBPC4
SMED30005430 NMDE1
SMED30005404 HOIL1
SMED30005416 PGBD4
SMED30005428 SARNP
SMED30005421 CLIP2
SMED30005431 PLSL
SMED30005425 CJ011
SMED30000585 RFT1
SMED30000565 DYH7
SMED30000577 SEPT5
SMED30000562 ACSS3
SMED30000559 POL2
SMED30000581 CNTLN
SMED30000576 KAZRN
SMED30000566 ROP1L
SMED30000556 RM13
SMED30000591 AT1B3
SMED30000588 ANK3
SMED30000573 PTCD3
SMED30005469 VGLU3
SMED30005470 SELW
SMED30005439 S6KL
SMED30005451 IMP1
SMED30005453 MOT9
SMED30005464 TIGD2
SMED30005444 NCLN
SMED30005445 TRPA1
SMED30005463 CPNE8
SMED30005459 IFIH1
SMED30005465 RB11B
SMED30005442 GTD2B
SMED30005458 NOC4L
SMED30005455 PPSA
SMED30005499 TELO2
SMED30005502 ZBED8
SMED30005477 GLRK
SMED30005492 KD5BB
SMED30005485 TAD2B
SMED30005476 DPOM
SMED30005484 FACE1
SMED30005496 NMD3A
SMED30005493 KIF28
SMED30005489 AP3M1
SMED30005494 POLY
SMED30005486 DTX22
SMED30005516 RNF11
SMED30005520 KN14H
SMED30005525 DCR1
SMED30005535 COPA
SMED30005509 ROA2
SMED30005527 TRFR
SMED30005523 ACTN1
SMED30005517 LAR
SMED30005513 SYT12
SMED30005538 PCGF2
SMED30005508 ACSL5
SMED30005526 ZBED5
SMED30005543 ZMYM2
SMED30005541 TAF7
SMED30005521 TEGU
SMED30005569 MD36B
SMED30005579 AF10
SMED30005553 TXND3
SMED30005572 OPN4
SMED30005562 ANK1
SMED30005571 P5CS
SMED30005546 COR1C
SMED30005577 DHRS1
SMED30005549 PGBD4
SMED30005556 ECHD1
SMED30005551 SPTCA
SMED30005547 ACAD9
SMED30005561 SPR
SMED30005565 V231
SMED30005570 INX11
SMED30005548 TBA
SMED30005574 CI085
SMED30005544 ACT1
SMED30005555 TIGD1
SMED30005613 SAN
SMED30005608 TAU
SMED30005611 TIGD1
SMED30005606 UBA1
SMED30005594 IKBL1
SMED30005596 ZKSC8
SMED30005593 POL3
SMED30005604 SCAM5
SMED30005600 DNJA1
SMED30005583 FMAR
SMED30005614 SPRE1
SMED30005588 ZFR
SMED30005598 POL3
SMED30005615 CHIO
SMED30005636 SM16
SMED30005630 TCB1
SMED30005617 DNM1L
SMED30005629 CDKL3
SMED30005651 ARF
SMED30005623 VIAAT
SMED30005622 SPR
SMED30005626 CBX3
SMED30005638 PI51A
SMED30005639 PDE2A
SMED30005635 CP2F2
SMED30005643 MET14
SMED30005649 ZBED8
SMED30005632 UBP43
SMED30005645 S39AE
SMED30005620 SIX1A
SMED30005667 POGK
SMED30005663 CPXR
SMED30005661 RAB7A
SMED30005682 CC1L1
SMED30005678 SC22B
SMED30005652 ATTY
SMED30005657 MAOX
SMED30005666 KC1A
SMED30005653 TRAF5
SMED30005671 HBAP1
SMED30005659 RM03
SMED30005684 ELOV4
SMED30005685 SUCO
SMED30005681 NKAP
SMED30005675 CCD53
SMED30005655 LICD
SMED30005709 NKX28
SMED30005704 RECR
SMED30005716 CBP
SMED30005688 SWAHA
SMED30005722 IFT27
SMED30005719 VATF
SMED30005696 FCF1
SMED30005717 SHLB1
SMED30005692 DYHC2
SMED30005694 HNRDL
SMED30005695 YIPF6
SMED30005723 SYT11
SMED30005713 MTND
SMED30005715 ZFYV1
SMED30005697 RAB8A
SMED30005691 KAT8
SMED30005737 DAPK
SMED30005744 FR1OP
SMED30005748 HNF4A
SMED30005752 MAP2
SMED30005741 ARC1A
SMED30005751 RAB17
SMED30005727 KCNC1
SMED30005755 ZCH10
SMED30005745 PLO1
SMED30005732 CUL3
SMED30005724 IMT3
SMED30005734 ASIC1
SMED30005729 CFA20
SMED30005738 CIZ1
SMED30005726 POL3
SMED30005754 IMDH
SMED30005736 MTR1C
SMED30005779 RING1
SMED30005777 POL3
SMED30005768 ADIC
SMED30005786 UBQ4
SMED30005765 PDE11
SMED30005782 UBL3
SMED30005781 ADRL
SMED30005760 GPR19
SMED30005772 VMA5A
SMED30005766 METH
SMED30005762 CONT
SMED30005790 HES5
SMED30005764 POL5
SMED30005793 TIM16
SMED30005783 TAZ
SMED30005770 PLAC8
SMED30005784 SEC62
SMED30000609 BTB6B
SMED30000627 JHD1
SMED30000619 RPE
SMED30000602 OPSD
SMED30000596 TDX
SMED30000594 SUZ12
SMED30000605 EVG1
SMED30000628 FRIS
SMED30000621 ACHB3
SMED30000608 L2GL2
SMED30000597 CCD96
SMED30000611 UBIQ
SMED30000620 DPOM
SMED30000613 TIPRL
SMED30000625 POL4
SMED30000603 MIB1
SMED30000612 TRAF3
SMED30000629 POL2
SMED30005802 NUCL
SMED30005814 MOC2B
SMED30005805 NKX11
SMED30005831 RNLS
SMED30005801 RM55
SMED30005823 PKN1
SMED30005807 NPTN
SMED30005809 GTD2B
SMED30005824 GCNT4
SMED30005798 3MG
SMED30005804 GCN1
SMED30005828 BOP1
SMED30005825 P2RX4
SMED30005796 POL3
SMED30005829 PYGM
SMED30005843 KLH10
SMED30005861 RHBL2
SMED30005852 ZNT2
SMED30005855 GRN
SMED30005845 NPHN
SMED30005836 CYSD
SMED30005850 MBTP1
SMED30005848 PPIL1
SMED30005865 ZNFX1
SMED30005862 CBR1
SMED30005854 GTDC1
SMED30005867 NKX12
SMED30005834 PSMD1
SMED30005866 PLD1
SMED30005857 INT6
SMED30005891 ATG13
SMED30005886 CCD39
SMED30005901 PPAL
SMED30005887 RU1C
SMED30005902 TBB2
SMED30005883 CCD81
SMED30005873 TBL3
SMED30005895 YIPF4
SMED30005890 PARI
SMED30005885 HOIL1
SMED30005879 KMT2C
SMED30005884 TBA1C
SMED30005898 TBP
SMED30005872 NETR
SMED30005900 CCKAR
SMED30005896 PGBD4
SMED30005936 UNC22
SMED30005932 TDRD1
SMED30005922 EPA4B
SMED30005912 4CL1
SMED30005937 P2RX4
SMED30005915 NIMR
SMED30005926 TRPM3
SMED30005935 TRAF3
SMED30005916 TIGD1
SMED30005908 SIR3
SMED30005918 RFWD2
SMED30005921 TYW5
SMED30005925 SMRDB
SMED30005924 CL16A
SMED30005917 UBP3
SMED30005928 OCTB1
SMED30005933 OTUD5
SMED30005910 NXT1
SMED30005904 GAPR1
SMED30005930 SAHH
SMED30005945 FMNL3
SMED30005973 CASP3
SMED30005954 PGBD3
SMED30005961 ACY1A
SMED30005947 HSP7C
SMED30005948 GALT1
SMED30005971 TIGD1
SMED30005953 ANR40
SMED30005962 SF01
SMED30005950 TADA3
SMED30005942 Y2679
SMED30005941 CP46A
SMED30005988 RL24
SMED30005996 HAOX1
SMED30005992 EVI1A
SMED30005991 POL4
SMED30005977 FIS1
SMED30006009 TRAF6
SMED30005990 2A5A
SMED30006002 TCPG
SMED30006000 RAB5A
SMED30005980 GT2D2
SMED30005997 RBM4
SMED30006008 AGAP3
SMED30005978 CNG3
SMED30005999 PAAC
SMED30006011 TBX2B
SMED30005998 RL3
SMED30006027 CUBN
SMED30006038 XIAP
SMED30006013 TBAT
SMED30006045 SMO
SMED30006041 ICP0
SMED30006025 HIBCH
SMED30006034 CN37
