V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	fold	pvalue
40	SMED30000160	3123	3432	18.4977	17.59916	29.79113	21.9627	SMED30000160	3124	3430	10.19312	8.72536	13.69838	10.8723	-1.01439825384277	0.0914743443677354
41	SMED30000188	3692	3825	2.15729	1.88799	2.08071	2.042	SMED30000188	3604	3826	3.97077	4.02065	3.55229	3.8479	0.914088440330202	0.00156533922731142
42	SMED30000188	4437	4721	7.79534	8.94933	5.49527	7.41331	SMED30000188	4446	4720	6.20891	4.88242	7.64473	6.24535	-0.247335416189464	0.419479671947558
43	SMED30000194	2404	2775	6.64398	6.27686	5.94211	6.28765	SMED30000194	2421	2775	8.17773	7.52685	6.65989	7.45482	0.245652605725537	0.100637809233001
44	SMED30000196	333	1337	14.44544	8.38941	13.41255	12.0825	SMED30000196	353	1214	8.70402	7.97702	5.60118	7.42741	-0.701987871024871	0.114186640774109
45	SMED30000196	1638	1925	68.57172	51.35151	67.2167	62.38	SMED30000196	1679	1924	31.83339	21.92515	27.73762	27.1654	-1.19931326242038	0.0108883505879253
46	SMED30000200	801	1046	4.89959	3.43018	4.24706	4.19228	SMED30000200	789	1046	5.92815	4.7201	4.13808	4.92878	0.233495509734543	0.340471187444033
47	SMED30000200	2432	2567	2.7428	2.69546	3.47171	2.96999	SMED30000200	2416	2568	3.84631	3.7539	4.98466	4.19496	0.498198980811358	0.0701447151503133
48	SMED30000203	196	685	19.86445	17.04236	18.44717	18.4513	SMED30000203	223	569	7.70808	8.72969	11.90845	9.44874	-0.965528603731205	0.00639150161470785
49	SMED30000203	2849	3349	33.20701	27.37519	34.47315	31.6851	SMED30000203	2905	3349	26.84728	25.64838	28.67717	27.0576	-0.22777069034201	0.157003397877752
50	SMED30000222	1291	1653	7.22485	5.67142	9.88685	7.59437	SMED30000222	1273	1633	9.325	6.23097	6.259	7.27166	-0.0626455439907321	0.850556026622901
51	SMED30000223	3817	4692	15.65334	11.14441	15.26836	14.022	SMED30000223	3812	4794	21.27437	24.48601	15.59241	20.4509	0.544472194506669	0.115752988501264
52	SMED30000223	5734	6288	14.96154	12.2859	12.55953	13.269	SMED30000223	5787	6288	10.52533	8.96778	8.70594	9.39968	-0.497376100026102	0.0247686790127112
53	SMED30000236	998	1167	6.47435	5.20222	7.92652	6.53436	SMED30000236	999	1167	6.52397	4.42418	5.73583	5.56133	-0.232615993128394	0.387524164553627
54	SMED30000242	200	712	6.94617	8.22348	6.0778	7.08248	SMED30000242	200	713	9.45098	5.81241	7.57484	7.61274	0.10416118365713	0.691402574218913
55	SMED30000261	207	1771	25.38605	20.82412	26.04419	24.0848	SMED30000261	796	1770	25.08471	16.90529	18.99541	20.3285	-0.244619178363031	0.281322542850313
56	SMED30000275	28	359	13.61123	12.15121	13.706	13.1561	SMED30000275	28	437	18.36046	17.34573	15.66186	17.1227	0.380178332332899	0.0185452888903705
57	SMED30000284	582	846	7.09917	6.71468	7.76656	7.19347	SMED30000284	588	825	3.89988	4.72968	5.00438	4.54465	-0.662518677087042	0.00432438618674861
58	SMED30000291	1024	1397	6.52414	4.61865	5.51876	5.55385	SMED30000291	923	1417	7.91022	6.99765	7.94035	7.61607	0.455558525694974	0.0437443602927299
59	SMED30000291	5041	5377	6.73919	7.16086	4.69838	6.19948	SMED30000291	5089	5326	3.97712	3.33907	3.76486	3.69368	-0.747088325578321	0.0734158883094628
60	SMED30000299	1981	2644	3.08487	2.38535	2.92949	2.7999	SMED30000299	1789	2644	4.43969	3.00316	2.76508	3.40264	0.281279220522609	0.373358948866671
61	SMED30000310	1967	2217	12.90267	12.06902	17.46211	14.1446	SMED30000310	1843	2138	8.12722	6.49228	7.89617	7.50522	-0.91428511164323	0.0481261855661181
62	SMED30000311	760	933	3.35075	3.2527	3.66854	3.424	SMED30000311	727	936	5.80809	8.65756	3.55249	6.00605	0.810733783554235	0.221872393471371
63	SMED30000311	1132	1958	11.85446	8.70278	11.41057	10.6559	SMED30000311	1074	1902	12.20742	8.65756	9.48817	10.1177	-0.0747710811231478	0.730467688269277
64	SMED30000316	621	854	7.46215	6.23835	8.75404	7.48485	SMED30000316	637	853	5.55717	5.88078	5.31891	5.58562	-0.422255976509983	0.114086291640378
65	SMED30000316	3004	3251	8.25764	6.62562	7.36774	7.417	SMED30000316	3022	3247	4.53083	4.06982	4.63385	4.4115	-0.749566484068625	0.0149185443112261
66	SMED30000338	2088	2775	16.31572	12.1347	8.54342	12.3313	SMED30000338	2105	2775	9.68755	9.48712	12.47265	10.5491	-0.225204980516804	0.52369774163999
67	SMED30000343	12	390	18.2074	20.88686	21.61359	20.2359	SMED30000343	6	390	19.51273	17.57896	22.95267	20.0148	-0.0158498153761991	0.912949753031921
68	SMED30000345	134	333	7.25759	8.19752	7.25302	7.56938	SMED30000345	150	324	7.90825	8.26457	7.32416	7.83233	0.0492664159651602	0.563024380946095
69	SMED30000345	2451	3009	32.59123	23.65787	37.02231	31.0905	SMED30000345	2466	3009	36.83101	23.36653	29.0378	29.7451	-0.0638217899168437	0.82003741389529
70	SMED30000350	125	402	3.41401	2.92491	3.3369	3.22527	SMED30000350	141	401	3.30125	2.96952	3.10253	3.12443	-0.0458269210536854	0.609959690581654
71	SMED30000350	893	1387	5.61492	5.12401	4.87938	5.2061	SMED30000350	890	1405	5.26801	3.34521	3.90354	4.17225	-0.319377417323023	0.204382501299475
72	SMED30000359	149	471	14.40667	9.37017	13.07554	12.2841	SMED30000359	58	475	19.97477	12.15699	7.20607	13.1126	0.094161613317319	0.851228352761439
73	SMED30000370	128	454	29.91117	20.08737	24.94055	24.9797	SMED30000370	156	412	23.24194	10.55393	16.46503	16.7536	-0.576285016616357	0.155072191491417
74	SMED30000370	1421	1687	4.04517	4.67576	4.53484	4.41859	SMED30000370	1402	1685	5.7298	5.39727	4.46366	5.19691	0.234068004705804	0.165442788720991
75	SMED30000370	3703	4069	4.70663	5.64358	6.46504	5.60508	SMED30000370	3616	3953	6.91245	5.64372	8.17184	6.90934	0.301812942393898	0.224556368852223
76	SMED30000373	891	1130	7.77184	7.82528	8.01776	7.87163	SMED30000373	896	1129	8.04615	6.67539	7.39084	7.37079	-0.0948431540713787	0.332545522370577
77	SMED30000377	11	446	14.39254	12.09246	12.86954	13.1182	SMED30000377	19	447	14.7608	7.80404	6.0868	9.55055	-0.457914052637611	0.309342803608746
78	SMED30000377	1142	1456	3.26717	2.76994	2.95588	2.99766	SMED30000377	1121	1551	4.00648	3.44024	4.28517	3.91063	0.383564284014066	0.0456931614507745
79	SMED30000393	1291	1573	8.87261	6.98237	7.60796	7.82098	SMED30000393	1295	1573	6.80506	5.19651	4.63554	5.5457	-0.495979819798531	0.0578239210190736
80	SMED30000394	160	381	29.74958	43.91922	42.06944	38.5794	SMED30000394	163	351	29.30802	14.13189	19.91423	21.118	-0.869357496896978	0.0496049799537595
81	SMED30000403	1787	2090	6.56275	6.7831	9.71169	7.68585	SMED30000403	1831	2064	5.59474	4.16572	6.06843	5.2763	-0.542678224772065	0.12599851584413
82	SMED30000411	596	1031	3.61843	2.63591	3.53562	3.26332	SMED30000411	603	1133	6.70864	5.50159	5.79323	6.00115	0.878898526244821	0.00499927195146234
83	SMED30000411	1341	1613	2.90806	1.8196	2.62495	2.45087	SMED30000411	1298	1637	4.95862	3.59273	3.48652	4.01262	0.711250575367115	0.0607010166176678
84	SMED30000411	2356	2500	4.1279	5.04207	5.87477	5.01491	SMED30000411	2326	2501	8.66316	5.36886	6.57434	6.86879	0.453832167770278	0.185836407014996
85	SMED30000418	5351	5656	8.18799	9.94836	8.43201	8.85612	SMED30000418	5432	5605	7.38958	5.72427	6.97081	6.69489	-0.403614419072792	0.0443698896581627
86	SMED30000421	4203	4408	48.73932	37.56646	37.24921	41.185	SMED30000421	4243	4405	50.96879	26.5258	36.8869	38.1272	-0.111298402959884	0.728243661350322
87	SMED30000440	1189	1893	21.48172	18.80199	18.5428	19.6088	SMED30000440	1209	1893	22.54713	14.9968	14.33417	17.2927	-0.181338107488504	0.479146840177381
88	SMED30000449	1762	1929	6.55562	6.95477	9.00474	7.50504	SMED30000449	1698	1929	5.69164	3.45625	5.03855	4.72881	-0.666382584505415	0.05214711388964
89	SMED30000459	2123	2356	9.97576	7.98544	10.20842	9.38987	SMED30000459	2113	2355	12.44744	6.85659	7.49664	8.93356	-0.0718699842470873	0.82792589303208
90	SMED30000463	565	818	4.25496	4.4894	4.42023	4.3882	SMED30000463	568	727	3.4563	1.49607	2.33537	2.42925	-0.853118311771248	0.0726293236421678
91	SMED30000473	457	722	4.49425	3.87784	4.82513	4.39907	SMED30000473	348	731	7.15697	7.56452	6.06197	6.92782	0.655202887912017	0.0135026825903974
92	SMED30000473	2362	2628	6.23478	6.39572	7.37378	6.66809	SMED30000473	2355	2634	5.93786	6.6809	5.71389	6.11088	-0.125893425734198	0.295223372432711
93	SMED30000473	2908	3146	5.7774	4.60794	6.0365	5.47395	SMED30000473	2882	3139	7.51482	5.54562	6.09542	6.38529	0.222169887196255	0.28657271423045
94	SMED30000473	3287	3568	7.76049	7.61673	13.75421	9.71048	SMED30000473	3322	3558	7.55318	3.40285	4.63123	5.19575	-0.902210596071149	0.144083169012553
95	SMED30000483	903	1199	13.2337	7.46618	13.09434	11.2647	SMED30000483	986	1199	8.11038	8.15494	6.25539	7.5069	-0.585519722437058	0.178108968050948
96	SMED30000488	1699	2137	14.60966	15.18116	14.2458	14.6789	SMED30000488	1634	2141	13.21509	14.59925	8.63986	12.1514	-0.272621319558874	0.294538233516313
97	SMED30000500	362	805	47.01731	40.03795	48.08795	45.0477	SMED30000500	411	804	33.96651	28.04605	28.02318	30.0119	-0.585918791967861	0.0107250559043939
98	SMED30000510	71	674	11.94256	10.93249	12.81231	11.8958	SMED30000510	87	605	9.07253	6.92555	7.45681	7.8183	-0.605525447977151	0.00907550463290134
99	SMED30000511	522	1409	28.50555	26.67284	33.0888	29.4224	SMED30000511	569	1410	33.24812	26.2416	24.08049	27.8567	-0.078890571284019	0.668452438811567
100	SMED30000512	3387	3699	10.41164	10.17809	12.62448	11.0714	SMED30000512	3469	3683	9.62683	5.6943	6.59783	7.30632	-0.599620818321836	0.0665845258196417
101	SMED30000513	85	276	9.23878	9.73097	4.57624	7.84866	SMED30000513	85	285	12.80971	12.24797	12.35676	12.4715	0.668116725498663	0.104877255640851
102	SMED30000517	936	1132	2.14156	2.96502	3.03942	2.71533	SMED30000517	898	1174	4.77955	4.77498	4.67977	4.74477	0.805210612556121	0.0184641547405994
103	SMED30000517	2754	2955	6.19975	4.61473	6.64107	5.81852	SMED30000517	2769	2885	4.1748	3.55258	4.7725	4.16663	-0.481771242293618	0.0970776235220619
104	SMED30000524	2881	3173	4.68299	4.08181	4.45567	4.40682	SMED30000524	2875	3172	4.98215	2.36931	3.6978	3.68309	-0.258821318445216	0.440310773962843
105	SMED30000538	1059	1233	18.06293	14.84783	15.40007	16.1036	SMED30000538	1079	1233	10.83	6.37617	11.36895	9.52504	-0.757586186207034	0.0323613546852249
106	SMED30000539	2802	3009	3.86658	2.74231	2.28431	2.9644	SMED30000539	2777	3010	5.46866	5.59608	4.8067	5.29048	0.835658492372312	0.0217595066737707
107	SMED30000542	1165	1353	5.84272	5.25965	3.63916	4.91384	SMED30000542	1168	1341	3.53004	3.29509	4.3622	3.72911	-0.398019528878101	0.207827770349752
108	SMED30000553	3214	3399	4.21741	5.12009	4.96594	4.76781	SMED30000553	3181	3377	4.89949	3.46158	4.82747	4.39618	-0.117076286586468	0.540277397203144
109	SMED30000558	1103	1515	10.18093	7.61266	10.29037	9.36132	SMED30000558	1108	1508	12.9412	10.75253	9.91139	11.2017	0.258933818593498	0.217178794652049
110	SMED30000559	9942	10431	8.38943	6.35096	6.41861	7.053	SMED30000559	9834	10421	12.46596	6.09842	6.78826	8.45088	0.260864539023879	0.567496568454429
111	SMED30000562	1762	2152	9.01908	9.43757	8.82731	9.09465	SMED30000562	1778	2151	6.08974	4.46559	5.31529	5.29021	-0.781693125382542	0.00793464087033138
112	SMED30000573	29	336	18.98296	18.71087	33.54577	23.7465	SMED30000573	29	344	18.37399	10.54113	10.36277	13.0926	-0.858963266092825	0.149402900427365
113	SMED30000576	866	1007	3.99595	4.64223	3.70689	4.11502	SMED30000576	838	1011	7.32733	5.47559	5.34512	6.04935	0.555880691253111	0.077405562499565
114	SMED30000576	1697	2173	11.43332	6.79771	8.37274	8.86792	SMED30000576	1704	2090	7.06199	4.36028	4.79999	5.40742	-0.713655338892855	0.110119207860117
115	SMED30000596	866	1056	11.9179	10.44504	15.5024	12.6218	SMED30000596	892	1054	9.34032	5.10818	7.32855	7.25902	-0.798070972085458	0.0526753097163687
116	SMED30000608	2738	2940	4.02845	5.14739	3.77869	4.31818	SMED30000608	2713	2920	4.48452	3.93781	3.77694	4.06642	-0.0866641506746302	0.631222047341712
117	SMED30000621	231	496	4.92861	5.57057	4.59252	5.03057	SMED30000621	277	460	2.25717	3.13671	3.42158	2.93849	-0.775646888397723	0.0108229607362613
118	SMED30000640	976	1205	6.99205	6.90113	7.75477	7.21598	SMED30000640	1017	1162	3.95042	3.39695	3.66797	3.67178	-0.974715719802398	0.00103623878578958
119	SMED30000643	328	702	7.70755	7.65365	8.4266	7.92927	SMED30000643	330	651	7.54795	7.41595	6.98963	7.31784	-0.115770179427564	0.121536367347933
120	SMED30000643	1214	1987	30.04464	31.641	34.28527	31.9903	SMED30000643	1240	1986	30.52938	24.68232	28.28266	27.8315	-0.20091585596545	0.126077400501531
121	SMED30000644	2096	2242	3.86353	3.71074	3.88398	3.81942	SMED30000644	1833	2253	6.29955	4.78677	6.42936	5.83856	0.612259018524903	0.0604569187244313
122	SMED30000644	4617	5030	13.09818	9.84449	12.54722	11.83	SMED30000644	4626	5032	11.92791	8.12921	7.49875	9.18529	-0.36505289742363	0.203526304623588
123	SMED30000646	2111	2362	5.07591	4.7464	6.22614	5.34948	SMED30000646	2127	2326	2.86384	2.78792	3.40594	3.01923	-0.825217996949097	0.0217077130235488
124	SMED30000648	1819	2064	17.07768	17.27489	23.30465	19.2191	SMED30000648	1901	2064	15.22495	12.18353	16.61615	14.6749	-0.389190106240154	0.146831133856449
125	SMED30000661	274	1103	20.36185	26.35153	21.18605	22.6331	SMED30000661	246	950	25.50179	29.49264	29.73417	28.2429	0.31945403258636	0.0790148268091849
126	SMED30000664	1069	1406	4.38093	3.65934	4.15393	4.06473	SMED30000664	1153	1405	2.90451	2.02904	3.15041	2.69465	-0.59306162653695	0.0353809333720337
127	SMED30000664	2163	2955	14.58641	12.08986	11.67455	12.7836	SMED30000664	2155	2960	23.48487	16.43065	16.78784	18.9011	0.564176026354546	0.101894528211777
128	SMED30000664	3474	4197	25.12169	24.76314	27.8274	25.9041	SMED30000664	3143	4123	17.2744	14.45569	13.16131	14.9638	-0.791703871472019	0.00256107528944822
129	SMED30000668	1839	2383	12.95703	11.61631	16.68395	13.7524	SMED30000668	1848	2380	9.45692	7.59814	9.61998	8.89168	-0.629155478831448	0.0682223643547206
130	SMED30000671	65	758	17.36403	18.26516	32.25979	22.6297	SMED30000671	140	585	12.9412	13.07787	12.14486	12.7213	-0.830971350710522	0.175807525329888
131	SMED30000681	534	766	7.65255	6.16673	7.39962	7.07297	SMED30000681	618	765	4.67671	7.81517	6.92672	6.47287	-0.12791061279842	0.605710768518891
132	SMED30000689	60	633	27.6429	26.2743	28.28142	27.3995	SMED30000689	82	633	22.60632	18.44307	16.92011	19.3232	-0.503815536306819	0.0306054835393161
133	SMED30000689	933	1135	12.75099	15.13273	20.42451	16.1027	SMED30000689	966	1135	15.03468	9.63951	10.78086	11.8184	-0.446267877073725	0.207425952377207
134	SMED30000690	3131	3416	16.48501	16.79718	18.24642	17.1762	SMED30000690	3133	3416	11.73052	9.0355	11.99446	10.9202	-0.65341161617377	0.00887123539744212
135	SMED30000691	735	1208	7.21495	6.88715	7.71243	7.27151	SMED30000691	851	1192	4.10426	3.40014	4.32424	3.94288	-0.883005181698757	0.000913315849490513
136	SMED30000692	1195	1924	12.17876	10.4781	13.8198	12.1589	SMED30000692	1066	1924	14.89013	10.08734	11.03524	12.0042	-0.0184734551719196	0.934727281781686
137	SMED30000694	528	759	9.28093	8.79581	11.17723	9.75132	SMED30000694	554	715	6.91515	4.40523	4.78734	5.36924	-0.860879630898022	0.0149044422808449
138	SMED30000696	1082	1258	4.40796	4.1739	4.06446	4.21544	SMED30000696	1082	1257	4.68047	3.0226	4.54452	4.08253	-0.0462197376211382	0.827456097742683
139	SMED30000699	238	1694	39.6925	37.31718	43.2752	40.095	SMED30000699	269	1611	32.28166	23.16963	27.83323	27.7615	-0.530336817068363	0.0227746938299044
140	SMED30000707	510	648	6.42864	6.43651	7.59127	6.81881	SMED30000707	504	648	6.74421	4.89985	4.90426	5.51611	-0.305868759268161	0.160258926421981
141	SMED30000712	457	722	5.87856	5.12469	5.67064	5.55796	SMED30000712	526	694	2.24711	2.62413	2.25008	2.37377	-1.22737529593325	0.00091975970800654
142	SMED30000714	394	622	5.54086	16.61817	22.21008	14.7897	SMED30000714	392	634	5.24315	14.91138	14.93116	11.6952	-0.338676255072433	0.629755847535183
143	SMED30000725	1120	1721	15.44136	14.12527	20.3007	16.6224	SMED30000725	1213	1620	7.36072	5.62691	5.62819	6.20527	-1.42156280796311	0.0230505870276594
144	SMED30000729	100	398	7.88201	5.111	5.01275	6.00192	SMED30000729	63	428	6.53663	10.20316	15.87974	10.8732	0.857280595897213	0.207973938331059
145	SMED30000752	1932	2106	11.49459	10.23164	11.501	11.0757	SMED30000752	1941	2106	6.37149	6.79997	10.04909	7.74018	-0.516958859901562	0.0891569718494392
146	SMED30000756	315	700	10.35197	5.76371	6.54561	7.55376	SMED30000756	292	650	11.69694	11.04409	7.05464	9.93189	0.394873336298983	0.306081730873583
147	SMED30000756	4611	4812	9.75852	9.43488	9.66699	9.62013	SMED30000756	4604	4811	9.93259	9.36955	9.08532	9.46249	-0.0238365192896498	0.602409109721531
148	SMED30000763	187	581	6.80035	6.00908	10.6444	7.81794	SMED30000763	213	581	6.46517	3.2256	4.10032	4.59703	-0.766086431336635	0.14563010154312
149	SMED30000765	1360	1651	20.8954	17.06305	15.64558	17.868	SMED30000765	1367	1605	17.47346	11.04334	15.8715	14.7961	-0.272161203637455	0.287272641253852
150	SMED30000771	233	391	7.17887	5.64665	5.76338	6.1963	SMED30000771	231	414	9.5972	7.26684	6.81251	7.89218	0.349016865212784	0.181112667412448
151	SMED30000771	732	1214	9.71879	11.02746	12.54856	11.0983	SMED30000771	868	1212	5.98203	3.95481	4.25931	4.73205	-1.22980148361901	0.00430536501967614
152	SMED30000773	85	441	13.76514	13.66748	16.02795	14.4869	SMED30000773	92	441	11.53855	8.23218	10.8612	10.2106	-0.504681265740726	0.0310851569250447
153	SMED30000778	907	1204	2.66519	2.73148	3.03622	2.81096	SMED30000778	879	1208	5.41307	4.45768	3.863	4.57792	0.703629327457032	0.0520003556123206
154	SMED30000778	1417	1767	4.04027	3.92024	4.08975	4.01675	SMED30000778	1418	1757	4.04309	3.10832	3.64129	3.59757	-0.159005913152927	0.259558154913942
155	SMED30000785	2343	2609	8.95437	7.1736	9.7084	8.61212	SMED30000785	2370	2588	7.07845	6.91806	11.31513	8.43721	-0.0296024117076807	0.921001070892709
156	SMED30000786	661	922	27.49928	22.77388	31.7002	27.3245	SMED30000786	662	899	23.10096	12.93434	23.26871	19.768	-0.467028181064955	0.157661857357423
157	SMED30000794	396	630	2.10799	1.9658	2.13623	2.07001	SMED30000794	367	632	2.47954	2.77652	3.1613	2.80579	0.438769296906191	0.0565935602555191
158	SMED30000805	185	672	12.57318	13.7185	14.07087	13.4542	SMED30000805	213	672	6.91383	7.07052	5.56559	6.51665	-1.04585419240916	0.000464167448906384
159	SMED30000805	1287	1968	28.80312	22.01719	33.63659	28.1523	SMED30000805	1304	1929	20.71625	15.87898	15.41711	17.3374	-0.699365231821817	0.0654804654307675
160	SMED30000812	532	759	6.76806	7.18166	8.41268	7.45413	SMED30000812	562	758	3.1252	3.43833	3.69154	3.41836	-1.12473563937352	0.00898392559711819
161	SMED30000816	1649	1919	4.67929	4.30626	6.0948	5.02678	SMED30000816	1655	1917	3.54467	2.64948	2.85011	3.01475	-0.737596179302141	0.0470123186497249
162	SMED30000817	1055	1631	10.49555	8.5328	10.86219	9.96351	SMED30000817	1119	1631	8.15193	7.28088	6.71163	7.38148	-0.432743964130555	0.0491836991068763
163	SMED30000819	1045	1545	23.2903	20.5441	24.22699	22.6871	SMED30000819	1063	1545	21.16804	18.32433	19.08894	19.5271	-0.216394498690565	0.0904258865382074
164	SMED30000821	686	1191	13.27752	13.20801	16.50569	14.3304	SMED30000821	686	1163	11.03816	5.75365	5.68697	7.49293	-0.935477000871569	0.0398550418413166
165	SMED30000845	1247	1510	16.05989	16.12117	21.19673	17.7926	SMED30000845	1339	1510	13.70245	11.47024	14.28406	13.1523	-0.435962232443012	0.0942820931745643
166	SMED30000846	509	709	17.57602	14.94191	19.94084	17.4863	SMED30000846	574	708	9.91991	10.76074	13.99858	11.5597	-0.597121098450101	0.036928537905229
